K-GW-015-585;7-4-K00431-2
B-GW-038-589;2-14-B00246-2
B-GW-042-585;2-25-B00321-2
K-GW-052-585;7-4-K00337-2
K-GW-060-585;7-4-K00424-2
K-GW-103-585;7-20-K00358-2
K-GW-113-585;7-4-K00125-2
K-GW-123-585;7-21-K00396-2
N-GW-067-585;11-16-N00135-2
N-GW-068-585;11-16-N00136-2
N-GW-069-585;3-21-CN00188-2
N-GW-101-585;3-4-CN00079-2
N-GW-109-585;3-4-CN00244-2
N-GW-115-585;3-4-CN00077-2
N-GW-122-585;3-16-CN00175-2
N-GW-131-585;3-4-CN00141-2
N-GW-150-585;3-14-CN00251-2
N-GW-157-585;11-21-N00189-2
N-GW-158-585;3-4-CN00225-2
N-GW-166-585;3-4-CN00144-2
N-GW-193-585;3-4-CN00241-2
Z-GW-013-585;6-20-Z00086-2
N-GW-133-585;11-16-N00140-2
N-GW-031-585;11-16-N00137-2
BG-GW-002-585;2-17-B00355-2
N-GW-055-585;3-4-CN00142-2
N-GW-062-585;3-4-CN00160-2
N-GW-049-585;3-4-CN00217-2
K-GW-005-585;7-4-K00404-2
N-GW-058-585;11-21-N00190-2
K-GW-009-585;7-4-K00442-2
K-GW-046-585;7-21-K00387-2
K-GW-063-585;7-4-K00428-2
K-GW-064-585;7-4-K00415-2
K-GW-066-585;7-4-K00012-2
K-GW-081-585;7-21-K00398-2
K-GW-093-585;7-4-K00438-2
K-GW-095-585;7-21-K00390-2
K-GW-106-585;7-4-K00334-2
K-GW-112-585;7-4-K00103-2
K-GW-121-585;7-21-K00376-2
N-GW-066-585;3-4-CN00125-2
N-GW-120-585;3-4-CN00124-2
N-GW-184-585;3-17-CN00071-2
N-GW-191-585;3-17-CN00172-2
MD-GW-002-585;5-9-M00017-2
MD-GW-007-585;5-9-M00004-2
N-GW-110-585;3-17-CN00072-2
Z-GW-001-585;6-20-Z00074-2
K-GW-086-585;7-4-K00414-2
N-GW-046-585;11-21-N00178-2
N-GW-016-585;11-4-N00031-2
B-GW-009-585;2-17-B00359-2
BG-GW-004-585;2-17-B00372-2
N-GW-047-585;3-4-CN00218-2
N-GW-039-585;3-4-CN00219-2
K-GW-026-585;7-17-K00458-2
K-GW-037-585;7-21-K00382-2
B-GW-028-585;2-25-B00319-2
B-GW-041-585;2-25-B00310-2
K-GW-079-585;7-4-K00411-2
K-GW-080-585;7-21-K00385-2
K-GW-082-585;7-4-K00416-2
K-GW-099-585;7-21-K00282-2
K-GW-102-585;7-4-K00322-2
K-GW-111-585;7-4-K00028-2
N-GW-108-585;3-4-CN00245-2
N-GW-138-585;3-16-CN00173-2
N-GW-153-585;3-14-CN00250-2
N-GW-178-585;3-16-CN00049-2
N-GW-179-585;3-4-CN00121-2
Z-GW-033-585;6-4-Z00148-2
MD-GW-001-585;5-15-M0018-2
K-GW-002-585;7-17-K00461-2
K-GW-091-585;7-25-KB00401-2
Z-GW-046-585;6-20-Z00149-2
N-GW-038-585;3-4-CN00145-2
K-GW-039-585;7-4-K00065-2
K-GW-024-585;7-13-K00468-2
B-GW-030-585;2-25-B00315-2
K-GW-074-585;7-4-K00440-2
K-GW-098-585;7-4-K00413-2
N-GW-071-585;3-25-N00195-2
N-GW-075-585;3-4-CN00198-2
N-GW-084-585;3-4-CN00228-2
N-GW-089-585;3-4-CN00210-2
N-GW-102-585;3-4-CN00139-2
N-GW-170-585;3-4-CN00167-2
N-GW-192-585;3-4-CN00222-2
Z-GW-056-585;6-21-Z00139-2
Z-GW-002-585;6-20-Z00075-2
Z-GW-010-585;6-20-Z00083-2
Z-GW-037-585;6-20-Z00072-2
N-GW-037-585;11-21-N00040-2
B-GW-025-585;2-25-B00318-2
B-GW-037-585;2-4-B00375-2
K-GW-059-585;7-4-K00423-2
K-GW-069-585;7-21-K00386-2
